username,rating_count,percentage
asep nurjaman,2,0.005168359304338838
Z,2,0.005168359304338838
Risma Nur Aidha,2,0.005168359304338838
Kunkun Kurniawan,2,0.005168359304338838
Ann Ida,2,0.005168359304338838
Naura Mysha Adiva,2,0.005168359304338838
ardieq putra,2,0.005168359304338838
Agung Ibnu,2,0.005168359304338838
Jati Bunda Kairo,2,0.005168359304338838
Uni Anila,2,0.005168359304338838
Natalia Anggrarini,2,0.005168359304338838
Lusyana Tjhin,2,0.005168359304338838
HERU Purwantoro,2,0.005168359304338838
Arifins Channel,2,0.005168359304338838
Prey Yitno,2,0.005168359304338838
Anis Nur,2,0.005168359304338838
Yan,2,0.005168359304338838
Umi Channel,2,0.005168359304338838
sandria prajna,2,0.005168359304338838
Detri Faris,2,0.005168359304338838
Iis Sumiati,2,0.005168359304338838
Dosen Newbie,2,0.005168359304338838
Ujang Hermawan,2,0.005168359304338838
Dr. NASIHIN ISKANDAR,2,0.005168359304338838
Trisna Sunandar,2,0.005168359304338838
Reza Mardani,2,0.005168359304338838
Mohamad Akmal,2,0.005168359304338838
Abdulrrwd,2,0.005168359304338838
Didin Suprodin,2,0.005168359304338838
Mhmmd Mustopa,2,0.005168359304338838
Asep Saeful,2,0.005168359304338838
Indri Jatinangor,2,0.005168359304338838
Aa Budi,2,0.005168359304338838
Diki Syfutra,2,0.005168359304338838
Engkus Kusumah,2,0.005168359304338838
Egi Muhammad F,2,0.005168359304338838
RIKA DR,2,0.005168359304338838
Erick Ebreg,2,0.005168359304338838
kukuh aryo,2,0.005168359304338838
Rian Wibawa,2,0.005168359304338838
Hajar Ibnu,2,0.005168359304338838
Harris Soehendie,2,0.005168359304338838
Lutfi Dandy Bhuana,2,0.005168359304338838
A A Napitupulu,2,0.005168359304338838
Mang Coker92,2,0.005168359304338838
Yuda Debyan Fadilah,2,0.005168359304338838
Ilham Fajar,2,0.005168359304338838
firmansyah mailandani,2,0.005168359304338838
Andrian 67,2,0.005168359304338838
yayan Permana,2,0.005168359304338838
muizzudin ridwan,2,0.005168359304338838
Akri Sohe,2,0.005168359304338838
Nunk Nur,2,0.005168359304338838
Andrian Rockerz,2,0.005168359304338838
Yuki Subandi,2,0.005168359304338838
Irfan Faza,2,0.005168359304338838
Raima Noors,2,0.005168359304338838
Dewi Susilawati,2,0.005168359304338838
Nandang Soenandar,2,0.005168359304338838
Sufiyan Shauri,2,0.005168359304338838
Pratama Dery,2,0.005168359304338838
Resti Adrian,2,0.005168359304338838
Denny Subagja,2,0.005168359304338838
Awet Teaw,2,0.005168359304338838
Fauzi Family,2,0.005168359304338838
Asep yayan Hendrayana,2,0.005168359304338838
Rd. Erick Kristama,2,0.005168359304338838
febri,2,0.005168359304338838
Ahmad Faisal,2,0.005168359304338838
wiangga soka,2,0.005168359304338838
Muhammad Kafka,2,0.005168359304338838
Kak MacHo,2,0.005168359304338838
Eko Nugraha,2,0.005168359304338838
Anira Creative,2,0.005168359304338838
Raden Ibrahim Somadinata,2,0.005168359304338838
Ai Kartini,2,0.005168359304338838
asep irwan,2,0.005168359304338838
hepi kuking,2,0.005168359304338838
Arin Haryanti,2,0.005168359304338838
Fadly Alfiansyah,2,0.005168359304338838
Anwar Muwafiq,2,0.005168359304338838
Sadono Setyoko,2,0.005168359304338838
syah ronie,2,0.005168359304338838
Ridwan Syah,2,0.005168359304338838
Aji Suryaman,2,0.005168359304338838
faizal firmansyah,2,0.005168359304338838
Rachmat Maulana Yusuf (Adhe Rahmay),2,0.005168359304338838
Sri Hastono,2,0.005168359304338838
Dads Cavalera,2,0.005168359304338838
AFaqih Ulumul Irfan,2,0.005168359304338838
Nining Nur Amanah,2,0.005168359304338838
John Paul,2,0.005168359304338838
Uchie Achti,2,0.005168359304338838
Nazril Interior,2,0.005168359304338838
Heru Susiawan,2,0.005168359304338838
rainy fauzi,2,0.005168359304338838
rismanu andang,2,0.005168359304338838
Gita Rahmawati,2,0.005168359304338838
Miqdad R,2,0.005168359304338838
Bert Mastenbroek (Albert),2,0.005168359304338838
Roesman Tea,2,0.005168359304338838
Dedin Jaenudin,2,0.005168359304338838
Asep Dedi,2,0.005168359304338838
re Karwati,2,0.005168359304338838
Yudi Hermansyah,2,0.005168359304338838
ryulia rochmawati,2,0.005168359304338838
Galih,2,0.005168359304338838
tubagus suherman,2,0.005168359304338838
RIAN GAMING,2,0.005168359304338838
fajar mahendra,2,0.005168359304338838
chantal patrick,2,0.005168359304338838
jaka wulung,2,0.005168359304338838
Danang Sucipto,2,0.005168359304338838
amank lns,2,0.005168359304338838
Agus suginar,2,0.005168359304338838
Agus Kurnia,2,0.005168359304338838
Pergi Jauh,2,0.005168359304338838
Hadi Hidayatullah,2,0.005168359304338838
Azfa Haqqani,2,0.005168359304338838
Attep Sunjaya,2,0.005168359304338838
Imam Maulana,2,0.005168359304338838
full chanel,2,0.005168359304338838
Yanti Rosmayanti,2,0.005168359304338838
passopati30,2,0.005168359304338838
Pt merapi Guana,2,0.005168359304338838
Erdi Nur Fadhlillah,2,0.005168359304338838
RENTAL MOBIL HIACE SETIAWAN JAYA TRANS,2,0.005168359304338838
Rifky Ardiansyah,2,0.005168359304338838
Rida Gardesha,2,0.005168359304338838
Tatang Ramadhan,2,0.005168359304338838
Djionk Aditya,2,0.005168359304338838
Kinggers Indonesia,2,0.005168359304338838
Wiku Wicakso,2,0.005168359304338838
Opik Acil,2,0.005168359304338838
Asep Hermawan,2,0.005168359304338838
anas nasruddin,2,0.005168359304338838
Dedi saepudin,2,0.005168359304338838
Dokoh Ngayab,2,0.005168359304338838
Ika Florina,2,0.005168359304338838
egi ahmad,2,0.005168359304338838
Khaerul Owe Imam,2,0.005168359304338838
Sukma Hadidinata,2,0.005168359304338838
friansyah casfank mhayy,2,0.005168359304338838
hammal na,2,0.005168359304338838
Ati Latifah,2,0.005168359304338838
Indra Yuda,2,0.005168359304338838
Tatto Jatayu55,2,0.005168359304338838
Ranu El Sagaara,2,0.005168359304338838
KBG_Samsi Sukmayana,2,0.005168359304338838
rhino nugroho,2,0.005168359304338838
BILLY G . RANTAU OFFICIAL,2,0.005168359304338838
jank jaenudin,2,0.005168359304338838
Deni Sukma Saputra,2,0.005168359304338838
Alda Ros,2,0.005168359304338838
Tia Pusvita,2,0.005168359304338838
rana rusdiana,2,0.005168359304338838
zanasta taa,2,0.005168359304338838
Epul The Masc,2,0.005168359304338838
Widi Yanti,2,0.005168359304338838
Anne Jeongu,2,0.005168359304338838
Rianto Hood,2,0.005168359304338838
salman alfarisi,2,0.005168359304338838
Junia Nurafni09,2,0.005168359304338838
Nurgalih Hadad Jatnika,2,0.005168359304338838
humaidy,2,0.005168359304338838
rony hernawan,2,0.005168359304338838
Dodi Koswara,2,0.005168359304338838
Haris Budiman,2,0.005168359304338838
Sofyan sofyan,2,0.005168359304338838
Ade Kurniawan,2,0.005168359304338838
poppy dwi,2,0.005168359304338838
Munjin Rais,2,0.005168359304338838
Fahmi Syabana,2,0.005168359304338838
Sopian Barnes,2,0.005168359304338838
ASE P,2,0.005168359304338838
Muchlis Euy,2,0.005168359304338838
bambang dwi pamuji,2,0.005168359304338838
Muhamad Ari Firmansyah,2,0.005168359304338838
Irma Rahayu,2,0.005168359304338838
Baskoro,2,0.005168359304338838
dokter sepeda 99,2,0.005168359304338838
ASTRID meilani,2,0.005168359304338838
Denny Augustinus,2,0.005168359304338838
Muh Abdurrahman,2,0.005168359304338838
Navizha Family,2,0.005168359304338838
Syarif Ahmad Hakim,2,0.005168359304338838
Femi Meilani,2,0.005168359304338838
Aditya Muhamad Fadilah,2,0.005168359304338838
Pipit Winarti,2,0.005168359304338838
Putra Faiha,2,0.005168359304338838
mulyana ajja,2,0.005168359304338838
Natalia Nugroho,2,0.005168359304338838
Tajudin Noor,2,0.005168359304338838
Karno 16,2,0.005168359304338838
Fajar Adriyanto,2,0.005168359304338838
I-D-K 99,2,0.005168359304338838
jodiwindarsah s,2,0.005168359304338838
permadi arsy,2,0.005168359304338838
W_ds,2,0.005168359304338838
Herman Susanto,2,0.005168359304338838
jhon xu channel,2,0.005168359304338838
Beni Dwiyanto,2,0.005168359304338838
Imas Msm,2,0.005168359304338838
Rafli Maulana Ramadhan,2,0.005168359304338838
helmy ramdhani,2,0.005168359304338838
Irtifa Darajat,2,0.005168359304338838
alzio diandra,2,0.005168359304338838
Medhia Avianti,2,0.005168359304338838
yosep setiawan,2,0.005168359304338838
Deden Firdaus,2,0.005168359304338838
Nurul Apifah,2,0.005168359304338838
Memed Ahmad,2,0.005168359304338838
samsi ST,2,0.005168359304338838
Yudistya Nurcholid Mauladi,2,0.005168359304338838
kang erwin (puteranet),2,0.005168359304338838
Dwijaya Tourtravel,2,0.005168359304338838
Dianaries Susanti,2,0.005168359304338838
ade syahrudin,2,0.005168359304338838
Hanny Rahman,2,0.005168359304338838
Rusmini Iyus,2,0.005168359304338838
Alifaida,2,0.005168359304338838
Hamdan Nurzaman,2,0.005168359304338838
siswoyo 321,2,0.005168359304338838
Zaka Abdul rojak,2,0.005168359304338838
Gilar Rifaldi,2,0.005168359304338838
Nida Relanida,2,0.005168359304338838
deni,2,0.005168359304338838
Sri Deti,2,0.005168359304338838
Dadang Budi,2,0.005168359304338838
Pebbi Kadapi,2,0.005168359304338838
Captain Fachry,2,0.005168359304338838
Ressa Utami,2,0.005168359304338838
my mboth,2,0.005168359304338838
Endang Wandar,2,0.005168359304338838
Dwita Damayanti,2,0.005168359304338838
raya asdam,2,0.005168359304338838
Wangky Murtiawan,2,0.005168359304338838
Akung Abah,2,0.005168359304338838
toni komara,2,0.005168359304338838
Sunara abi,2,0.005168359304338838
entep herawan,2,0.005168359304338838
Anita Yuliani,2,0.005168359304338838
Karin Dra,2,0.005168359304338838
Gunawan Tea,2,0.005168359304338838
Dodi Triana,2,0.005168359304338838
elly sugiarta,2,0.005168359304338838
Idfi Nurfajar,2,0.005168359304338838
faizal akhmad,2,0.005168359304338838
Ai Siti Farihah Rahayu,2,0.005168359304338838
Riska AdminSekolah,2,0.005168359304338838
awan tomat,2,0.005168359304338838
Mustika MDP,2,0.005168359304338838
Shinta Elysia,2,0.005168359304338838
RULI RUDIAMAN,2,0.005168359304338838
